WSTAT	YEAR_SIMU	SDAY	HDAY	TDAYS	YIELD_SIMU	LAI
AGWQ	2000	154	252	98	2172	7.3
AGWQ	2001	159	258	99	3049	7.1
AGWQ	2002	163	261	98	2833	7.5
AGWQ	2003	163	260	97	3023	7.7
AGWQ	2004	160	258	98	2996	7.4
AGWQ	2005	167	264	97	3095	7.5
AGWQ	2006	171	270	99	3154	7.3
AGWQ	2007	158	254	96	2946	7.8
AGWQ	2008	159	255	96	3184	6.9
AGWQ	2009	158	251	93	3201	7.0
AGWQ	2010	167	263	96	3089	7.7
AGWQ	2011	156	253	97	3092	7.3
AGWQ	2012	162	259	97	2563	7.6
AGWQ	2013	155	257	102	3151	7.3
AGWQ	2014	169	263	94	2678	7.2
AGWQ	2015	160	253	93	2811	6.6
AGWQ	2016	158	255	97	3166	7.6
AGWQ	2017	162	260	98	3046	7.6
