WSTAT	YEAR_SIMU	SDAY	HDAY	TDAYS	YIELD_SIMU	LAI
HIPJ	2000	155	253	98	2056	7.0
HIPJ	2001	150	247	97	2095	7.0
HIPJ	2002	150	245	95	2463	7.1
HIPJ	2003	164	262	98	2536	7.4
HIPJ	2004	150	245	95	2348	7.0
HIPJ	2005	166	262	96	3095	7.3
HIPJ	2006	157	253	96	2641	7.1
HIPJ	2007	158	254	96	2831	7.5
HIPJ	2008	180	278	98	3251	7.6
HIPJ	2009	187	281	94	2986	7.5
HIPJ	2010	166	262	96	2822	7.3
HIPJ	2011	155	251	96	2725	7.1
HIPJ	2012	162	259	97	2855	7.4
HIPJ	2013	155	257	102	2924	7.0
HIPJ	2014	172	267	95	3058	7.6
HIPJ	2015	160	253	93	2585	6.9
HIPJ	2016	158	255	97	2957	7.3
HIPJ	2017	161	259	98	2824	7.3
